{'time': 1689026557.160925, 'GPU': 0.0, 'CPU1': 15, 'CPU2': 14, 'CPU3': 15, 'CPU4': 16, 'CPU5': 15, 'CPU6': 16, 'Temp CPU': 56.0, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2486204}
{'time': 1689026558.123205, 'GPU': 0.0, 'CPU1': 53, 'CPU2': 55, 'CPU3': 54, 'CPU4': 51, 'CPU5': 58, 'CPU6': 39, 'Temp CPU': 56.0, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2490512}
{'time': 1689026559.195265, 'GPU': 0.0, 'CPU1': 37, 'CPU2': 30, 'CPU3': 40, 'CPU4': 30, 'CPU5': 29, 'CPU6': 70, 'Temp CPU': 55.5, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2490984}
{'time': 1689026560.16805, 'GPU': 0.0, 'CPU1': 25, 'CPU2': 29, 'CPU3': 37, 'CPU4': 83, 'CPU5': 22, 'CPU6': 26, 'Temp CPU': 56.0, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2496068}
{'time': 1689026561.130011, 'GPU': 0.0, 'CPU1': 83, 'CPU2': 82, 'CPU3': 78, 'CPU4': 100, 'CPU5': 78, 'CPU6': 91, 'Temp CPU': 56.5, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2511336}
{'time': 1689026562.154433, 'GPU': 0.0, 'CPU1': 98, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 98, 'CPU6': 95, 'Temp CPU': 56.5, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2529060}
{'time': 1689026563.135826, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 97, 'CPU3': 99, 'CPU4': 100, 'CPU5': 100, 'CPU6': 99, 'Temp CPU': 57.0, 'Temp GPU': 54.0, 'RAM_Total': 7012852, 'RAM_Usage': 2549652}
{'time': 1689026564.170698, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 97, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 56.5, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2568340}
{'time': 1689026565.237512, 'GPU': 0.0, 'CPU1': 97, 'CPU2': 94, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 95, 'Temp CPU': 56.5, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2580960}
{'time': 1689026566.182658, 'GPU': 0.0, 'CPU1': 97, 'CPU2': 93, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 99, 'Temp CPU': 56.5, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2587872}
{'time': 1689026567.174477, 'GPU': 0.0, 'CPU1': 98, 'CPU2': 84, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 56.5, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2598124}
{'time': 1689026568.146489, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 98, 'Temp CPU': 57.0, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2609404}
{'time': 1689026569.170705, 'GPU': 0.0, 'CPU1': 86, 'CPU2': 87, 'CPU3': 82, 'CPU4': 85, 'CPU5': 96, 'CPU6': 85, 'Temp CPU': 56.5, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2622624}
{'time': 1689026570.163563, 'GPU': 0.0, 'CPU1': 11, 'CPU2': 21, 'CPU3': 11, 'CPU4': 12, 'CPU5': 52, 'CPU6': 54, 'Temp CPU': 56.0, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2636260}
{'time': 1689026571.188238, 'GPU': 0.0, 'CPU1': 12, 'CPU2': 9, 'CPU3': 13, 'CPU4': 23, 'CPU5': 19, 'CPU6': 88, 'Temp CPU': 56.0, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2645968}
{'time': 1689026572.182185, 'GPU': 0.0, 'CPU1': 11, 'CPU2': 12, 'CPU3': 26, 'CPU4': 14, 'CPU5': 100, 'CPU6': 6, 'Temp CPU': 56.0, 'Temp GPU': 55.0, 'RAM_Total': 7012852, 'RAM_Usage': 2653496}
{'time': 1689026573.196414, 'GPU': 0.0, 'CPU1': 29, 'CPU2': 72, 'CPU3': 19, 'CPU4': 25, 'CPU5': 29, 'CPU6': 14, 'Temp CPU': 56.0, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2672200}
{'time': 1689026574.17743, 'GPU': 0.0, 'CPU1': 23, 'CPU2': 14, 'CPU3': 9, 'CPU4': 11, 'CPU5': 41, 'CPU6': 63, 'Temp CPU': 56.0, 'Temp GPU': 54.5, 'RAM_Total': 7012852, 'RAM_Usage': 2683468}
