{'time': 1689110915.176063, 'GPU': 0.0, 'CPU1': 14, 'CPU2': 15, 'CPU3': 12, 'CPU4': 11, 'CPU5': 12, 'CPU6': 13, 'Temp CPU': 46.5, 'Temp GPU': 44.0, 'RAM_Total': 7012856, 'RAM_Usage': 1916952}
{'time': 1689110916.173349, 'GPU': 0.0, 'CPU1': 48, 'CPU2': 38, 'CPU3': 56, 'CPU4': 47, 'CPU5': 51, 'CPU6': 58, 'Temp CPU': 47.0, 'Temp GPU': 44.0, 'RAM_Total': 7012856, 'RAM_Usage': 1944196}
{'time': 1689110917.173385, 'GPU': 0.0, 'CPU1': 43, 'CPU2': 40, 'CPU3': 19, 'CPU4': 20, 'CPU5': 18, 'CPU6': 23, 'Temp CPU': 46.5, 'Temp GPU': 44.5, 'RAM_Total': 7012856, 'RAM_Usage': 1941472}
{'time': 1689110918.182402, 'GPU': 0.0, 'CPU1': 37, 'CPU2': 38, 'CPU3': 27, 'CPU4': 34, 'CPU5': 15, 'CPU6': 18, 'Temp CPU': 47.0, 'Temp GPU': 44.5, 'RAM_Total': 7012856, 'RAM_Usage': 1933824}
{'time': 1689110919.183274, 'GPU': 0.0, 'CPU1': 57, 'CPU2': 46, 'CPU3': 36, 'CPU4': 37, 'CPU5': 31, 'CPU6': 23, 'Temp CPU': 47.0, 'Temp GPU': 44.5, 'RAM_Total': 7012856, 'RAM_Usage': 1955056}
{'time': 1689110920.192305, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 96, 'CPU3': 97, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 47.5, 'Temp GPU': 44.5, 'RAM_Total': 7012856, 'RAM_Usage': 1976676}
{'time': 1689110921.239928, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 99, 'CPU3': 100, 'CPU4': 100, 'CPU5': 98, 'CPU6': 100, 'Temp CPU': 47.5, 'Temp GPU': 44.5, 'RAM_Total': 7012856, 'RAM_Usage': 1990652}
{'time': 1689110922.182979, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 98, 'CPU3': 98, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2024436}
{'time': 1689110923.213558, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 99, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2031704}
{'time': 1689110924.232549, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 95, 'CPU6': 100, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2042460}
{'time': 1689110925.181135, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 92, 'CPU3': 95, 'CPU4': 97, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2052768}
{'time': 1689110926.183722, 'GPU': 0.0, 'CPU1': 98, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2057556}
{'time': 1689110927.195507, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 99, 'Temp CPU': 48.0, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2073668}
{'time': 1689110928.188111, 'GPU': 0.0, 'CPU1': 42, 'CPU2': 42, 'CPU3': 41, 'CPU4': 40, 'CPU5': 98, 'CPU6': 42, 'Temp CPU': 48.0, 'Temp GPU': 45.5, 'RAM_Total': 7012856, 'RAM_Usage': 2088304}
{'time': 1689110929.18326, 'GPU': 0.0, 'CPU1': 12, 'CPU2': 14, 'CPU3': 85, 'CPU4': 6, 'CPU5': 17, 'CPU6': 5, 'Temp CPU': 47.5, 'Temp GPU': 45.0, 'RAM_Total': 7012856, 'RAM_Usage': 2095932}
