{'time': 1689037191.688692, 'GPU': 0.0, 'CPU1': 14, 'CPU2': 13, 'CPU3': 14, 'CPU4': 15, 'CPU5': 13, 'CPU6': 15, 'Temp CPU': 50.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2568404}
{'time': 1689037192.661942, 'GPU': 0.0, 'CPU1': 65, 'CPU2': 37, 'CPU3': 61, 'CPU4': 50, 'CPU5': 30, 'CPU6': 39, 'Temp CPU': 50.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2571272}
{'time': 1689037193.649132, 'GPU': 0.0, 'CPU1': 44, 'CPU2': 44, 'CPU3': 38, 'CPU4': 41, 'CPU5': 22, 'CPU6': 29, 'Temp CPU': 50.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2564768}
{'time': 1689037194.689721, 'GPU': 13.2, 'CPU1': 22, 'CPU2': 48, 'CPU3': 25, 'CPU4': 40, 'CPU5': 28, 'CPU6': 19, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2586940}
{'time': 1689037195.692297, 'GPU': 0.0, 'CPU1': 93, 'CPU2': 100, 'CPU3': 95, 'CPU4': 95, 'CPU5': 95, 'CPU6': 97, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2599228}
{'time': 1689037196.677833, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 99, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2612508}
{'time': 1689037197.706087, 'GPU': 17.5, 'CPU1': 98, 'CPU2': 99, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2644900}
{'time': 1689037198.70873, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2652292}
{'time': 1689037199.705824, 'GPU': 0.0, 'CPU1': 98, 'CPU2': 99, 'CPU3': 100, 'CPU4': 100, 'CPU5': 98, 'CPU6': 98, 'Temp CPU': 51.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2666416}
{'time': 1689037200.729689, 'GPU': 9.4, 'CPU1': 100, 'CPU2': 98, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 99, 'Temp CPU': 51.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2685184}
{'time': 1689037201.721728, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 94, 'CPU6': 100, 'Temp CPU': 51.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2698800}
{'time': 1689037202.737038, 'GPU': 30.2, 'CPU1': 98, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 51.0, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2697100}
{'time': 1689037203.68736, 'GPU': 0.0, 'CPU1': 68, 'CPU2': 69, 'CPU3': 68, 'CPU4': 68, 'CPU5': 73, 'CPU6': 95, 'Temp CPU': 50.5, 'Temp GPU': 48.0, 'RAM_Total': 7012852, 'RAM_Usage': 2706852}
