{'time': 1689166547.587716, 'GPU': 0.0, 'CPU1': 13, 'CPU2': 13, 'CPU3': 24, 'CPU4': 29, 'CPU5': 18, 'CPU6': 21, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012856, 'RAM_Usage': 2704216}
{'time': 1689166548.588547, 'GPU': 0.0, 'CPU1': 50, 'CPU2': 54, 'CPU3': 37, 'CPU4': 42, 'CPU5': 34, 'CPU6': 60, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012856, 'RAM_Usage': 2709460}
{'time': 1689166549.579961, 'GPU': 0.0, 'CPU1': 46, 'CPU2': 53, 'CPU3': 22, 'CPU4': 18, 'CPU5': 30, 'CPU6': 32, 'Temp CPU': 51.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2710676}
{'time': 1689166550.587006, 'GPU': 0.0, 'CPU1': 20, 'CPU2': 15, 'CPU3': 44, 'CPU4': 54, 'CPU5': 33, 'CPU6': 23, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012856, 'RAM_Usage': 2715680}
{'time': 1689166551.609207, 'GPU': 0.0, 'CPU1': 83, 'CPU2': 84, 'CPU3': 99, 'CPU4': 86, 'CPU5': 88, 'CPU6': 85, 'Temp CPU': 52.5, 'Temp GPU': 49.5, 'RAM_Total': 7012856, 'RAM_Usage': 2735188}
{'time': 1689166552.630534, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 95, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2752124}
{'time': 1689166553.605884, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 99, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 98, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2780224}
{'time': 1689166554.600885, 'GPU': 0.0, 'CPU1': 98, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2793484}
{'time': 1689166555.623317, 'GPU': 0.0, 'CPU1': 95, 'CPU2': 99, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2804976}
{'time': 1689166556.620756, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 98, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2816784}
{'time': 1689166557.618699, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 97, 'CPU3': 97, 'CPU4': 99, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2828908}
{'time': 1689166558.614479, 'GPU': 0.0, 'CPU1': 97, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 53.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2841408}
{'time': 1689166559.585026, 'GPU': 0.0, 'CPU1': 81, 'CPU2': 80, 'CPU3': 100, 'CPU4': 80, 'CPU5': 78, 'CPU6': 83, 'Temp CPU': 52.5, 'Temp GPU': 50.5, 'RAM_Total': 7012856, 'RAM_Usage': 2852516}
{'time': 1689166560.585729, 'GPU': 0.0, 'CPU1': 33, 'CPU2': 39, 'CPU3': 37, 'CPU4': 8, 'CPU5': 15, 'CPU6': 24, 'Temp CPU': 52.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2863920}
{'time': 1689166561.602943, 'GPU': 0.0, 'CPU1': 8, 'CPU2': 8, 'CPU3': 100, 'CPU4': 4, 'CPU5': 7, 'CPU6': 17, 'Temp CPU': 52.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2871320}
{'time': 1689166562.575351, 'GPU': 0.0, 'CPU1': 18, 'CPU2': 12, 'CPU3': 23, 'CPU4': 83, 'CPU5': 22, 'CPU6': 18, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2888848}
{'time': 1689166563.593222, 'GPU': 0.0, 'CPU1': 9, 'CPU2': 8, 'CPU3': 39, 'CPU4': 66, 'CPU5': 14, 'CPU6': 12, 'Temp CPU': 52.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2906100}
{'time': 1689166564.577486, 'GPU': 0.0, 'CPU1': 10, 'CPU2': 8, 'CPU3': 41, 'CPU4': 50, 'CPU5': 12, 'CPU6': 16, 'Temp CPU': 52.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2916916}
{'time': 1689166565.619872, 'GPU': 0.0, 'CPU1': 13, 'CPU2': 8, 'CPU3': 5, 'CPU4': 4, 'CPU5': 13, 'CPU6': 10, 'Temp CPU': 52.0, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2909840}
{'time': 1689166566.645384, 'GPU': 0.0, 'CPU1': 27, 'CPU2': 27, 'CPU3': 45, 'CPU4': 41, 'CPU5': 49, 'CPU6': 69, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2910920}
{'time': 1689166567.67099, 'GPU': 0.0, 'CPU1': 54, 'CPU2': 26, 'CPU3': 53, 'CPU4': 50, 'CPU5': 60, 'CPU6': 65, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2912028}
{'time': 1689166568.672212, 'GPU': 0.0, 'CPU1': 48, 'CPU2': 59, 'CPU3': 32, 'CPU4': 33, 'CPU5': 68, 'CPU6': 72, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2914308}
{'time': 1689166569.668447, 'GPU': 0.0, 'CPU1': 38, 'CPU2': 38, 'CPU3': 51, 'CPU4': 38, 'CPU5': 59, 'CPU6': 68, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2916148}
{'time': 1689166570.585722, 'GPU': 0.0, 'CPU1': 25, 'CPU2': 38, 'CPU3': 24, 'CPU4': 17, 'CPU5': 38, 'CPU6': 90, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2918148}
{'time': 1689166571.603458, 'GPU': 0.0, 'CPU1': 18, 'CPU2': 15, 'CPU3': 10, 'CPU4': 12, 'CPU5': 5, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2918144}
{'time': 1689166572.592069, 'GPU': 0.0, 'CPU1': 7, 'CPU2': 11, 'CPU3': 16, 'CPU4': 11, 'CPU5': 2, 'CPU6': 100, 'Temp CPU': 52.5, 'Temp GPU': 50.0, 'RAM_Total': 7012856, 'RAM_Usage': 2918664}
{'time': 1689166573.594496, 'GPU': 0.0, 'CPU1': 9, 'CPU2': 4, 'CPU3': 17, 'CPU4': 5, 'CPU5': 2, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 50.5, 'RAM_Total': 7012856, 'RAM_Usage': 2919532}
